Question,"Question Type (multiple-choice or multi-select)","Answer Option 1","Answer Option 2","Answer Option 3","Answer Option 4","Answer Option 5","Answer Option 6","Correct Response",Explanation,"Knowledge Area"
"33.  Bob sells radios. His friend and neighbor of more than ten years, Arthur, is a C.P.A. Bob puts a note in Arthur's mailbox. It reads, “You've asked me if I'll sell my '87 Volvo. I'll sell it to you for $2,000. I'll keep this offer open for two weeks.” A week later, Bob has not heard from Arthur, so he puts another note in Arthur's box. It reads, “I have to cancel my offer on the Volvo. My Toyota's transmission is gone, so I need the Volvo.” Arthur immediately knocks on Bob's door and says, “You can't go back on your offer. You said it was good for two weeks, and I want the Volvo. Here's your $2,000.” Arthur tenders a check for $2,000 to Bob and demands the car.
On these facts, if Arthur commences an action for specific performance of the transaction, it is most likely that",multiple-choice,"A.   Bob will prevail because he revoked his offer for good reasons.","B.   Bob will prevail because there was no consideration for his promise to keep the offer open for two weeks.","C.   Arthur will prevail because Bob's offer was binding as an option contract.","D.   Arthur will prevail because Bob's offer was a firm offer not subject to revocation.",,,2,"B  Ordinarily, an offer is revocable by the offeror at any time. This is true even under these facts, which state that Bob's offer was “open for two weeks.” Unless the offer created an option, it remains revocable. Choice Cis wrong. Only the recitation of a purported consideration is required by the Restatement (Second) of Contracts §87(1)(a). Bob's offer, however, does not state any consideration at all for the promise to keep the offer open, but merely states the price of the car. Thus, it is not an option. Choice Dis wrong because Bob is not a merchant of cars. A written offer signed by a merchant to buy or sell goods is irrevocable without consideration for the time stated. UCC §2-205. Choice Ais wrong because Bob's reasons do not matter. If the offer created an option, it would be irrevocable despite good reasons; if not, it would be revocable even for bad reasons.","Formation of Contracts"
"<p>34. Questions 34-36 are based on the following fact situation: Tom is a teacher of numismatics. He is an acknowledged expert in coins and their value. His collection is worth thousands of dollars. Tom regularly buys and sells coins. Jim, who had no prior experience with coins, inherited a sizable coin collection. Jim opened “Coin Shop” in a local shopping center. </p><p>34. Assume that on June 1, Jim advertised in the local newspaper as follows: “Special sale. Coins on sale at 10 percent over their face value.” In response to this ad, Tom visited Jim's shop and saw in a display case a 50-cent coin that Tom recognized as having a value of $100. Tom tendered 55 cents to Jim, but Jim refused to sell the coin. Jim said that the coin had already been sold to Zeke for $100 prior to the start of the special sale, but that Jim had forgotten to remove it from the display case. Tom sued Jim for damages. What result is likely?</p>",multiple-choice,"A.   Jim wins because the ad was not an offer.","B.   Jim wins because 55 cents was not sufficient consideration for a coin worth $100.","C.   Tom wins because he relied on the ad in traveling to Jim's shop.","D.   Tom wins because Jim's ad was an offer that Tom accepted when he tendered the 55 cents to purchase the coin.",,,1,"A  Most mass-media advertisements are not offers to sell. Instead, they are an “invitation to the public to come and purchase.” Craft v. Elder & Johnson Co.; Rest. 2d §26, cmt. b. The rationale is that the ads rarely contain precise information on price, availability, and so on. The ad in this case was especially sketchy. It did not state what coins were being sold, the quantity of each kind of coin, or even that the special sales price applied to all the coins. Choice Ais the best answer. Choice Bis not a good answer because the law does not require adequacy of consideration. Rest. 2d §79(b). In any event, because there had never been an offer to sell the coin at any price, the parties were free to negotiate a price and Jim was free to reject Tom's offer. Choice Cis incorrect because even if Tom's reliance satisfied the requirement of consideration, it would not overcome the absence of an offer. Choice Dis wrong because, as we have seen, Jim's ad was not an offer but an invitation to Tom to come and examine Jim's merchandise.","Formation of Contracts"
"35. Questions 34-36 are based on the following fact situation:
Tom is a teacher of numismatics. He is an acknowledged expert in coins and their value. His collection is worth thousands of dollars. Tom regularly buys and sells coins. Jim, who had no prior experience with coins, inherited a sizable coin collection. Jim opened “Coin Shop” in a local shopping center.

35.  Assume that Tom telephoned Jim and learned that Jim owned 50 silver dollars minted in 1937. Jim agreed to sell them to Tom for $1,000, which sum Tom agreed to pay in advance of shipment. Following the conversation, Jim sent Tom this letter: “This confirms your purchase of 50 silver dollars. On receipt of your check for $1,000, the coins will be shipped to you as agreed. /s/ Jim.” Tom received the letter, but did not respond to it and did not pay the $1,000. A month later, Jim sued Tom, who asserted the Statute of Frauds as a defense. Will this defense succeed?",multiple-choice,"A.   No, because the letter signed by Jim satisfies the writing requirement against Tom.","B.   No, because the face value of the coins is less than $5,000.","C.   Yes, because there is no writing signed by Tom.","D.   Yes, because a memorandum signed after the contract is made does not satisfy the Statute of Frauds.",,,1,"A  The facts of this question establish that both Jim and Tom were merchants (Jim operates a coin store and Tom deals in coins). The sale of goods between merchants is covered by several special provisions of the UCC. Between merchants, if a written confirmation of the contract is sent by the seller within a reasonable time after the sale, the Statute of Frauds is satisfied unless the purchaser objects in writing within ten days after receiving the confirmation. UCC §2-201(2). Choice Ais therefore the correct answer. Choice Bis incorrect because in the absence of a transaction between merchants and in other special circumstances, the UCC requires that all sales contracts for goods at a price greater than $500 be in writing. UCC §2-201(1). Even under the 2003 revisions of article 2, which increased the threshold value to $5,000, choice Bwould be wrong. The question will not turn on the face value of the coins, but on the price of the goods. The statute would not apply because the price is less than $5,000, but the reasoning offered in this choice is incorrect. Choice Cis incorrect because the purchaser does not have to sign the memorandum. The seller's memorandum is sufficient if it is received by the purchaser and the purchaser does not object within ten days. Choice Dincorrectly states the law. The seller's memorandum covered by the UCC always follows the sale.","Formation of Contracts"
"36. Questions 34-36 are based on the following fact situation:
Tom is a teacher of numismatics. He is an acknowledged expert in coins and their value. His collection is worth thousands of dollars. Tom regularly buys and sells coins. Jim, who had no prior experience with coins, inherited a sizable coin collection. Jim opened “Coin Shop” in a local shopping center.

36.  Assume the same facts as in question 35. Tom defends on the ground that there was no legally sufficient consideration for his promise to pay $1,000. Will this defense succeed?",multiple-choice,"A.   Yes, because a court will not enforce a promise to pay $1,000 for coins with a face value of $50.","B.   Yes, because Jim did not change his position in reliance on the promise of Tom to pay $1,000.","C.   No, because Jim's promise to sell the coins was sufficient consideration.","D.   No, because both Tom and Jim are merchants, and contracts between merchants do not require consideration.",,,3,"C  The facts of this question raise the issue of fairness in dealing between two parties to a contract. Can a party be forced to pay $1,000 for $50 in coins? The answer is yes. So long as the parties have freely agreed to the price, there is consideration. Consideration exists when the promisee gives up something of value and the promisor makes his promise in exchange. There is no requirement that the items exchanged be of equal value. The contrary view is obviously inapplicable in the kind of exchange between Jim and Tom. Who is to say that the 50 silver dollars are not worth $1,000? We leave the parties to their bargain. Choice Cis the correct answer. Choice Dis legally incorrect (contracts between merchants do require consideration). Choice Ais incorrect because it is contrary to the facts: the courts will not ordinarily question the value of consideration in a bargain between two parties. Finally, choice Bis incorrect because it was not necessary for Jim to change his position. He was merely trying to enforce his bargain with Tom.","Formation of Contracts"
"37.  Farnsworth was negotiating to get his large house painted by his friend Corbin. Farnsworth told Corbin, “I'll pay you $20,000 if you will paint my entire house within one month.” Corbin replied, “I agree, provided you agree to give me two months to complete the job.” Farnsworth responded, “I'll consider paying you $20,000 and giving you two months to complete the job, but would you consider $25,000 in return for finishing in one month?” Corbin responded, “No.” Farnsworth then said, “Okay, I agree to pay you $20,000 to paint my house, and you can have two months to finish the job.” Corbin responded, “Forget it,” and walked away. What would be the best description of the legal relationship between the parties?",multiple-choice,"A.   There is no contract because the last offer was rejected.","B.   There is no contract because the parties were still negotiating.","C.   There is a contract for Corbin to paint Farnsworth's house in exchange for $20,000, and the job must be completed within two months.","D.   If there is a contract found between the parties, it is for Corbin to paint Farnsworth's house for $25,000 and to complete the job within one month.",,,3,"C  Farnsworth makes an offer to Corbin, and Corbin's response, changing the date of completion, is a rejection of Farnsworth's offer and a counter-offer. The counteroffer is for $20,000 with Corbin having 2 months in which to finish the job. When Farnsworth then says he will consider the offer and inquires about different payment and completion terms, this does not serve as a rejection of the prior offer. Corbin's offer remains active. When Corbin will not agree to the new proposal from Farnsworth, the offer from Corbin can be accepted until it is rejected. The acceptance occurs prior to the rejection, so there is a contract. Choice Ais incorrect because while the last offer was rejected, the prior offer remained valid. Choice Bis incorrect because the parties were making offers and counter-offers but were not in the negotiation phase in which neither party could accept and create a valid contract. Choice Dis incorrect because Corbin clearly rejects this offer.","Formation of Contracts"
"38.  Joe and Bill live on the same street. One day, Joe notices a deep dent in his car door. Checking around, he notices that Carl, Bill's teenage son, has a dent in his car as well. Joe concludes that Carl struck Joe's car when he drove out of his driveway. Joe confronts Bill with his suspicions. Bill tells Joe that he will pay to have Joe's car repaired at a body shop. Joe agrees. Later that night, Bill questions Carl about the dents. Carl insists that the dent in his car occurred when he hit a pole in his employer's parking lot. He shows Bill the accident report he submitted to his employer and establishes that the dent was caused by a car with a different paint color. In the meantime, Joe takes his car to the body shop and has the dent repaired. Bill now refuses to pay for Joe's repairs.
If Joe sues Bill for the cost of the repairs, it is most likely that",multiple-choice,"A.   Joe will prevail because Bill's promise is enforceable.","B.   Bill will prevail because both parties mistakenly believed Carl caused the dent.","C.   Bill will prevail for lack of consideration because Carl did not cause the dent.","D.   Bill will prevail because his agreement with Joe was oral.",,,1,"A  This question requires analysis of an agreement based on a mutual mistake concerning a basic assumption of the parties. Joe and Bill made their agreement on the mistaken assumption that Carl was responsible for the dent in Joe's door. Can Bill avoid his promises after he realizes that it was induced by a mistake? Many courts have held that in cases of mutual mistake, there is no contract at all and that either party may avoid it. The more modern view, however, is reflected in the Restatement (Second) of Contracts, which will impose the obligation of performance under three circumstances: (1) the mistake must relate to a basic assumption, (2) the mistake must have a material effect on the agreement, and (3) the party seeking avoidance must not bear the risk of the mistake. Rest. 2d §152. These facts clearly revolve around a material mistake that was the underlying assumption of the agreement. The remaining issue is whether Bill bears the risk of the mistake. The answer under the Restatement would be yes. First of all, Joe relied to his detriment on Bill's promises. Second, and perhaps more important, Bill was “aware, at the time the contract was made that he had only limited knowledge with respect to the facts to which his mistake related but treated his limited knowledge as sufficient.” This doctrine is called the doctrine of “conscious ignorance,” Rest. 2d §154(b), illus. 1. Thus, choice Bis wrong. Choice Cis wrong because Joe waived his claim against Carl in exchange for Bill's promise. Even if Joe's claim was invalid, waiving it will be consideration as long as Joe honestly believed it was valid at the time the contract was made. Choice Dis wrong because the agreement did not have to be in writing.",Defenses
"39.  Builder and Owner verbally agreed that Builder would install a driveway leading to Owner's garage for $5,000. The job was to be completed in one month, at which point Owner would pay Builder in full. Builder asked Jonathan to supply him with the cement he needed for $1,000. Jonathan agreed, and Builder wrote a memo to Owner, instructing him to pay $1,000 of the sum due him directly to Jonathan. Builder completed the job on schedule, but the work was defective and unacceptable to Owner. Owner refuses to pay either Builder or Jonathan.
If Jonathan sues Owner, the likely result is that",multiple-choice," A.   Jonathan will prevail even if Builder did not perform his work in a reasonably competent manner, as long as Jonathan supplied concrete in a competent manner.","B.   Owner will prevail if Builder did not perform his work in a reasonably competent way.","C.   Owner will prevail because Builder could not assign his right to payment before the work was finished.","D.   Owner will prevail because the contract involves land and there was no writing.",,,2,"B  A party to a contract may freely assign his rights under the contract. This principle makes an assignment of rights somewhat different from a delegation of duties. No consideration is required for the assignment, which operates as a present transfer. In this case, however, the delivery of cement by Jonathan constituted consideration. The assignment does not have to be in writing, but, here, Builder gave notice of the assignment to Owner. The assignment from Builder to Jonathan is a partial assignment of payment because Builder retained his rights to the balance. At common law, partial assignments were not permitted. These days, however, the courts generally allow partial assignments. The right to make a partial assignment is recognized in the Restatement (Second) of Contracts. Rest. 2d §326(1). Generally, the partial assignee cannot sue the obligor without naming the assignor as co-plaintiff. In any event, the assignee “stands in the shoes of the assignor” and is subject to all the defenses, set-offs, and counterclaims that the obligor can assert against the assignor. The best answer is choice B. Because Builder did not perform his work in a reasonably competent manner, he cannot recover and Jonathan cannot recover. Choice Ais wrong because any defense Owner has against Builder will also apply to Jonathan. Builder cannot assign greater rights than it has. Choice Cis wrong because Builder could assign the right to payment at any stage in the work; however, the Owner was not required to make payment until the work was completed. Choice Dis incorrect. Although the contract relates to land, it does not involve the transfer of an interest in land. Only agreements to transfer or buy an interest in land are within the Statute of Frauds; contracts to build on or improve land are not.","Third Party Beneficiary"
"40. Questions 40-42 are based on the following fact situation:
Youth is a 17-year-old boy who has been buying and selling bicycles since he was 11. Teller is a 25-year-old bank teller who has never bought a bicycle before. Teller asked Youth if he had a bicycle to sell. Youth showed Teller a bicycle with a slight crack in the frame. Teller asked if the slight crack would impair the bicycle's utility, and Youth said, “Not a bit.” In fact, the crack would probably cause the frame to collapse after very little use. Youth knew this, but Teller did not. Teller said, “Very well, I'll pay you $100 for the bicycle and pick it up tomorrow.” They both signed a writing, prepared by Youth, which purported to memorialize the terms of their agreement. Later that day, Teller learned that the crack would probably cause the frame to collapse after little use.

40.  If Teller tells Youth he will not accept the bicycle and Youth asserts a claim against Teller for damages for breach of contract, who will prevail?",multiple-choice,"A.   Teller, because Youth is a minor and lacks capacity to contract.","B.   Teller, because he relied on a material misrepresentation.","C.   Youth, because the contract is voidable only at Youth's election.","D.   Youth, because Teller's reliance on Youth's statement was not reasonable.",,,2,"B  A party to a contract has the same defenses against the minor as against any other party. If a minor misrepresents a material fact on which the other party justifiably relies to his detriment, the latter has the option of rescinding the agreement or of asserting the defense of breach. Rest. 2d §164. Youth's misrepresentation of the condition of the bike entitles Teller to defend against Youth's claim. Choice Ais incorrect. Although persons under 18 are classified as infants in most states, an agreement by an infant is voidable by the infant but enforceable by the infant against the other party to the agreement. Rest. 2d §14. Choice Cwould be correct if Teller asserted incapacity, but this has no bearing on the defense of misrepresentation. Because Teller will raise misrepresentation, this response is not the best answer. Choice Dis incorrect because the facts indicate that Teller's reliance was reasonable. Many courts will not even inquire into the reasonableness of defendant's reliance if the plaintiff intended the misrepresentation, as is the case here.",Misrepresentation
"41. Questions 40-42 are based on the following fact situation:
Youth is a 17-year-old boy who has been buying and selling bicycles since he was 11. Teller is a 25-year-old bank teller who has never bought a bicycle before. Teller asked Youth if he had a bicycle to sell. Youth showed Teller a bicycle with a slight crack in the frame. Teller asked if the slight crack would impair the bicycle's utility, and Youth said, “Not a bit.” In fact, the crack would probably cause the frame to collapse after very little use. Youth knew this, but Teller did not. Teller said, “Very well, I'll pay you $100 for the bicycle and pick it up tomorrow.” They both signed a writing, prepared by Youth, which purported to memorialize the terms of their agreement. Later that day, Teller learned that the crack would probably cause the frame to collapse after little use.

41.  Assume that Teller says to Youth, “I know the crack can cause a problem, but that's all right. I can have it welded and it will work well enough.” Teller demands the bicycle, but Youth refuses, saying he has changed his mind about selling. Teller asserts a claim against Youth for damages for refusing to deliver the bicycle. Who will prevail?",multiple-choice,"A.   Teller, because he has waived his right to avoid the agreement.","B.   Teller, because even a minor is responsible for his misrepresentations.","C.   Youth, because as a minor he can avoid liability on an executory contract.","D.   Youth, because Teller could not waive his right to avoid the agreement.",,,3,"C  A minor who enters into a contract has the option of voiding the contract at any time until his majority (in most states, the age of 18). Rest. 2d §14. The correct answer is choice C. Choice Ais incorrect because it's immaterial to our decision whether Teller waives the misrepresentation. If Youth voids the agreement, there's nothing Teller can do. Choice Bis a valid statement of the law, but it is immaterial to the issue: Youth's right to avoid the contract. Choice Dis wrong on all counts. Teller could waive his right to avoid the agreement, but he cannot enforce it either because of Youth's age and his decision not to perform.",Incapacity
"<p>42. Questions 40-42 are based on the following fact situation:
Youth is a 17-year-old boy who has been buying and selling bicycles since he was 11. Teller is a 25-year-old bank teller who has never bought a bicycle before. Teller asked Youth if he had a bicycle to sell. Youth showed Teller a bicycle with a slight crack in the frame. Teller asked if the slight crack would impair the bicycle's utility, and Youth said, “Not a bit.” In fact, the crack would probably cause the frame to collapse after very little use. Youth knew this, but Teller did not. Teller said, “Very well, I'll pay you $100 for the bicycle and pick it up tomorrow.” They both signed a writing, prepared by Youth, which purported to memorialize the terms of their agreement. Later that day, Teller learned that the crack would probably cause the frame to collapse after little use.
</p><p>
42.  Assume the writing prepared by Youth purports to describe the bicycle by serial number, but Youth mistakenly inserts serial number 100B, the number of another bicycle in his possession, instead of number 100A, the number of the bicycle at issue. At the time the writing was signed, Teller knew that the wrong serial number was contained in the writing. Teller demands the bicycle identified in the writing as 100B, but Youth refuses to deliver it.
If Teller asserts a claim against Youth for damages for breach of contract for refusing to deliver the bicycle with serial number 100B, who will prevail?</p>",multiple-choice,"A.   Youth, because there was a mutual mistake.","B.   Youth, because there was no agreement to sell the bicycle identified in the writing as serial number 100B."," C.   Teller, because the mistake was Youth's unilateral mistake.","D.   Teller, because the parol evidence rule bars evidence that the bicycle identified in the writing as number 100B is not the one Youth agreed to sell.",,,3,"C  The parol evidence rule does not prevent the introduction of evidence that the parties made a critical mistake when they reduced their agreement to writing. The rationale is that the mistake vitiates the entire agreement. Teller will show that the bicycle described in the contract was not the one the parties intended to describe. Choice Cis the correct answer. Choice Dis incorrect because the transaction did not come within the Statute of Frauds (under UCC §2-201, only contracts for the sale of goods with an aggregate price of $500 or more are within the Statute of Frauds; the amount will increase to $5,000 or more if the 2003 revisions to article 2 are adopted). Choice Ais incorrect because mistakes that are material to the agreement can always be proved. Finally, choice Bis incorrect because the fairness of a deal is no basis to require a party to accept goods she never agreed to buy. (Note: Youth could prevail by suing for the failure to accept bicycle 100A. The parol evidence rule will not preclude evidence that the writing incorrectly recorded the parties' agreement. If clear and convincing evidence shows that the parties agreed to the bicycle with the crack in the frame, the writing can be reformed to reflect the correct serial number and enforced accordingly — subject to other defenses, such as misrepresentation.)","Contract Terms"
"43.  Seller entered into a written agreement with Buyer. Seller agreed to provide 5,000 widgets to Buyer at a price of $7,500. A few days later, Seller assigned in writing to Bradley “all of my rights under my contract with Buyer for the sale of widgets.” Bradley was another widget distributor with an excellent business reputation. The assignment did not contain an assumption by Bradley of Seller's obligations under the contract. Bradley failed to deliver the widgets to Buyer on time, and Buyer was unable to complete a job requiring the widgets.
If Buyer sues Bradley, the result will be",multiple-choice,"A.   Bradley will prevail because he never expressly agreed to assume Seller's duties under the Buyer/Seller agreement.","B.   Bradley will prevail because he was not in privity of contract with Buyer.","C.   Buyer will prevail because Buyer is a third-party beneficiary under the agreement between Seller and Bradley.","D.   Buyer will prevail because Bradley indemnified Seller.",,,1,"A  The best answer is choice A.Atransfer of one's rights under a contract is an assignment.Atransfer of one's duties under a contract is a delegation.A“general assignment” of the entire contract operates both as an assignment and a delegation. UCC §2-210(4); Rest. 2d §328(1). These facts tell us that Seller “assigned all my rights under my contract” to Bradley. This language ordinarily means both an assignment of rights and a delegation of duties. UCC §2-210(5) (UCC §2-210(3) under the 2003 revisions to article 2). But the facts also state that “the assignment did not contain an assumption by Bradley of Seller's obligations.” This negates a delegation of duties. Thus, when Bradley did not perform, he was not liable either to Seller or to Buyer. Choice Bis not as good an answer as choice A. The concept of privity is a complicated one that applies generally when there is a succession of interests between one party and another (e.g., assignor and assignee, or testator and beneficiary), or when there is a mutuality of interest in a contract or property right. If Bradley had agreed to the delegation, he would have been liable to Buyer regardless of privity, so choice Ais the better answer. Choice Cis wrong.Adelegation to Bradley would make Buyer a third-party beneficiary of the contract. Because Bradley did not promise to perform Seller's duties, there could be no third-party beneficiary of a promise. Choice Dis wrong because it is contrary to the facts. No indemnification agreement is mentioned; nor would indemnification of Seller affect Buyer's rights.","Third Party Beneficiary"
"<p>44. Questions 44-45 are based on the following fact situation:
Buyer was in the business of selling home furniture. Recognizing the increase in home offices, Buyer decided to add office desks and chairs to his catalog. He entered into a one-year agreement with Seller. Seller agreed to fill all orders submitted by Buyer at a cost 10 percent below the wholesale price quoted in Seller's catalog. Buyer prepared and distributed flyers and brochures offering the chairs and desks at the prices listed, but before Buyer could submit his first order, Seller notified Buyer in writing that the contract was “canceled.” Buyer now had several orders for the desks and chairs and was forced to purchase them from another wholesaler at a considerably higher price.
</p><p>
44.  In an action by Buyer against Seller, the most likely outcome is that</p>",multiple-choice,"A.   Seller will prevail because there was no consideration for its promise to deliver.","B.   Buyer will prevail because he relied on a constant source of supplies in advertising and promoting his new inventory.","C.   Seller will prevail because the desks and chairs had not previously been sold by Buyer and his future sales could not be calculated or estimated.","D.   Seller will prevail because Buyer has found another source of goods and can adjust his price to his customers to avoid any loss or damage.",,,2,"B  Contracts in which one party agrees to buy all his requirements for a stated period from another party at an agreed price are called requirements contracts. Before the UCC, many courts declared these contracts unenforceable for lack of consideration. Under the UCC, these contracts are enforceable. UCC §2-306. Choice Ais incorrect. Although Buyer is not committed to order any office furniture if he needs none, Buyer must determine his needs in good faith and cannot simply back out of the deal on a whim. Buyer has given up the right to order from any other supplier for a year — a legal right Buyer was under no obligation to relinquish. That is consideration for Seller's promise. Choice Bis the best answer. Although the Buyer could have enforced the Seller's agreement even without reliance, his reliance under these facts is another reason to bind the Seller. Choice Cis wrong. Even though Buyer had no purchase or sales history, the court would impose a standard of good faith in the absence of a minimum or estimated quantity. There is nothing in the facts to indicate that Seller was unable to meet Buyer's needs, especially prior to his very first order. Choice Dis incorrect because Buyer's ability to get his needs elsewhere is immaterial to Seller's obligation. Because Buyer was forced to pay more for his desks and chairs, Seller will be liable for Buyer's damages.",Consideration
"45. Questions 44-45 are based on the following fact situation: Buyer was in the business of selling home furniture. Recognizing the increase in home offices, Buyer decided to add office desks and chairs to his catalog. He entered into a one-year agreement with Seller. Seller agreed to fill all orders submitted by Buyer at a cost 10 percent below the wholesale price quoted in Seller's catalog. Buyer prepared and distributed flyers and brochures offering the chairs and desks at the prices listed, but before Buyer could submit his first order, Seller notified Buyer in writing that the contract was “canceled.” Buyer now had several orders for the desks and chairs and was forced to purchase them from another wholesaler at a considerably higher price.

45.  Assume the same facts as in question 44, except that Buyer is the party canceling the contract instead of Seller. What result?",multiple-choice,"A.   Seller will prevail because the contract is sufficiently definite as to its material terms.","B.   Seller will prevail because Buyer has an obligation to use his best efforts to sell the desks and chairs.","C.   Buyer will prevail because it is impossible to determine its requirements with reasonable certainty.","D.   Buyer will prevail because a crucial element of a purchase contract, the price, cannot be fixed with certainty.",,,1,"A  The obligation of a seller to supply all the requirements of a buyer for a stated period at an agreed price is one half of a requirements contract (the other half is the agreement of the buyer to purchase all its requirements exclusively from the seller) and is enforceable. UCC §2-306. By its very nature, a requirements contract is lacking several terms of an ordinary sales contract (i.e., the quantity to be purchased and the dates of performance). Under these facts, however, the contract is sufficiently definite to satisfy the UCC requirements: it fixes the term by which the quantity is to be measured (i.e., one year), the price to be paid by Buyer (i.e., 10 percent below listed wholesale), and the commodity to be sold (i.e., office desks and chairs). Choice Bis wrong; in the absence of a “best efforts” clause, Buyer would be expected to use only reasonable efforts to sell the desks and chairs. Choice Cis wrong because it is not necessary to know Buyer's needs in advance of his orders. McMichael v. Price. Choice Dis wrong on the facts. The price was fixed at 10 percent below the Seller's quoted wholesale price. (Note: If Buyer placed no orders because it changed its mind, in good faith, about entering this new product line, no breach would occur because Buyer's needs would be zero. The cancellation would be ineffective, however, where Buyer does have orders from customers, as stated in the facts to the previous problem.)","Contract Terms"
"46.  Joe was a highly successful tire manufacturer. He sold most of his production to Rubberco. When Rubberco's requirements increased, it suggested to Joe that he expand his facilities. Joe asked ABC for a loan to finance the expansion. ABC reviewed Joe's earning records and decided it could not make the loan without a supporting guarantee. Joe asked Rubberco to act as guarantor. Rubberco called ABC, where it had a substantial account, and told the bank officer, “Don't worry, we'll be responsible for Joe's loan.” Without asking for a written guarantee, ABC made a loan to Joe of $100,000.

If Joe is unable to repay the loan, can ABC recover the loan from Rubberco?",multiple-choice,"A.   Yes, if it can show that it would not have made the loan but for Rubberco's statement.","B.   Yes, because Rubberco guaranteed payment of the loan.","C.   No, because Rubberco did not guarantee the loan in writing.","D.   No, because Rubberco's words were not the language of guarantee.",,,2,"B  In the case of a guaranty given simultaneously with the creation of the debt, as in this case, there is consideration to support the guaranty — the detriment incurred by the creditor in making a loan to a debtor it would not otherwise accept. The correct answer is therefore choice B. Choice Ais incorrect because ABC does not have to prove reliance. The mere fact that Rubberco gave the guaranty will be sufficient to support its claim. Choice Cis incorrect. Ordinarily, a guaranty needs to be in writing. Rest. 2d §110(b). Because Rubberco's guaranty seems to be motivated by its own advantage (obtaining more tires from Joe), the promise falls outside the Statute of Frauds. Rest. 2d §116. Choice Dis wrong. The words “we'll be responsible for” will be given their conventional meaning of assurance or commitment, making them equivalent to the word “guaranty.”","Formation of Contracts"
"47.  Shalanda knew that Kevin was having financial trouble and that his rent was due in two days, so when she saw him buying bags of beans and rice in the store, she told him, “I will buy your entire collection of first edition Superdude comic books for $250.” Kevin responded, “You know those comics are worth ten times that much to a collector.” Shalanada said she knew “but you can't find a collector before your rent is due. Think about it and let me know. You have my cell number.” Two hours later Kevin called Shalanda and said, “Okay, I accept, although I think what you're doing is wrong. I'm insulted and I think you should be in jail for even suggesting it.” Shalanda responded, “Well if you feel that way about it, forget about it,” and hung up. Which of the following statements most likely describes the relationship between the parties?",multiple-choice,"A.   There is a bilateral contract between Kevin and Shalanda with Shalanda having an obligation to buy the comics and Kevin having an obligation to sell them.","B.   There is no contract between the parties because Shalanda revoked the offer within a reasonable time.","C.   There is no contract between the parties because promise for promise is illusory and does not constitute consideration.","D.   There is no contract between the parties because of the mirror image rule.",,,1,"A  Shalanda made an offer to purchase the comic books. She permitted acceptance to take place by telephone within a reasonable time. Within a reasonable time Kevin accepted. Although Kevin's acceptance was grudging, it was sufficient to form a bilateral contract. At that point, Shalanda cannot revoke her offer. Choice Bis incorrect because after Kevin accepts the offer, a contract is formed and it is too late for Shalanda to revoke the offer. Choice Cis incorrect because a promise given in exchange for a promise is not illusory; it is the basis of a bilateral contract. Both sides have an obligation to perform. Choice Dis incorrect because Shalanda made an offer and specified the means of acceptance. Kevin complied exactly, albeit grudgingly.","Formation of Contracts"
"48. Questions 48-49 are based on the following fact situation:
Daniel and Paul were involved in an automobile accident. Paul sued Daniel for $10,000, alleging that Daniel was negligent. Each party claims to have had the green light. Of the two other witnesses, one was prepared to testify that Paul had the green light. Before trial, Daniel offered Paul $5,000 to settle all claims arising from the accident. Paul accepted the offer.

48.  After Daniel promised to pay the $5,000, Paul dismissed the negligence suit. When Daniel suffered a large business reversal and was unable to pay the $5,000, Paul threatened to sue Daniel. On learning these facts, Ted told Paul, “Daniel is an old friend of mine. If you will not sue him, I will pay you the $5,000.” Paul said, “Okay,” and did not file suit against Daniel. A week later, Ted repudiated his promise to Paul. Paul sued Ted for $5,000. What result?",multiple-choice,"A.   Ted wins because there was no consideration for his promise.","B.   Ted wins because Paul must recover against Daniel before he can sue Ted.","C.   Paul wins because his agreement not to sue Daniel is sufficient consideration for Ted's promise.","D.   Paul wins because Ted's friendship with Daniel is sufficient consideration for Ted's promise.",,,3,"C  If a party agrees not to enforce a valid claim, her promise is sufficient “detriment” to qualify as consideration. Here, when Paul agreed not to sue Daniel, he gave up his right to recover $5,000. In exchange, he received Ted's promise of payment. The fact that Paul's promise was made to Ted does not alter the result. Rest. 2d §73, illus. 11. The correct answer is choice C. Choice Dis incorrect because Ted's friendship would not be sufficient consideration in the absence of Paul's reliance. Choice Ais incorrect because, as we have seen, there was consideration for Ted's promise to Paul. Finally, choice Bis incorrect because there is no requirement that Paul sue and recover against Daniel before suing Ted. The contrary result would be economically wasteful and unreasonable.","Formation of Contracts"
