Question,"Question Type (multiple-choice or multi-select)","Answer Option 1","Answer Option 2","Answer Option 3","Answer Option 4","Answer Option 5","Answer Option 6","Correct Response",Explanation,"Knowledge Area"
"37. Questions 36-40 are based on the following fact situation.

Anna, the owner of a nightclub, booked Sam, a famous entertainer, for the week beginning Sunday, July 1. On June 20 Sam was stricken by appendicitis and according to his surgeon would not be able to perform until August 1. Dn June 21, Anna sent the following telegrams to Ella and to two other performers. The contents of all three telegrams were identical.

“Sam ill and unable to perform during the July 1 week. Desperately need replacement act. You must arrive no later than June 29 to give the band time to rehearse with you. Money no object as all performances already sold out. /s/ Anna.""

[Facts of Question 36: Assume that Ella received her wire on June 22 and immediately wired back: “On my way. Hope I get a better room than you provided last time. /s/ Ella."" After Ella sent her wire, but before Anna received it, Anna learned from Sam's surgeon that Sam had recovered and could perform July 1. Anna immediately telephone Ella and said that Ella was not needed because Sam had recovered.

If Ella asserts a claim against Anna and Anna defends on the ground that there was no effective acceptance of her offer, who will prevail?]

Assume the same facts as in question 36. Anna defends on the ground that her wire was not intended as an offer, since it was sent to three people and she needed only one replacement act. Will this defense succeed?",multiple-choice,"Yes, if Anna did not intend to be bound to more than one person.","Yes, because, as creator of the purported “offer,” Anna‘s intent not to make an offer prevails","No, if Ella did not know that identical wires were sent to others.","No, because Anna would only be bound by the ﬁrst acceptance she received.",,,3,,Contracts
"38.  Questions 36-40 are based on the following fact situation.

Anna, the owner of a nightclub, booked Sam, a famous entertainer, for the week beginning Sunday, July 1. On June 20 Sam was stricken by appendicitis and according to his surgeon would not be able to perform until August 1. Dn June 21, Anna sent the following telegrams to Ella and to two other performers. The contents of all three telegrams were identical.

“Sam ill and unable to perform during the July 1 week. Desperately need replacement act. You must arrive no later than June 29 to give the band time to rehearse with you. Money no object as all performances already sold out. /s/ Anna.""

[Facts of Question 36: Assume that Ella received her wire on June 22 and immediately wired back: “On my way. Hope I get a better room than you provided last time. /s/ Ella."" After Ella sent her wire, but before Anna received it, Anna learned from Sam's surgeon that Sam had recovered and could perform July 1. Anna immediately telephone Ella and said that Ella was not needed because Sam had recovered.

If Ella asserts a claim against Anna and Anna defends on the ground that there was no effective acceptance of her offer, who will prevail?]

Assume the same facts as in previous question 36. Anna defends on the ground that Sam’s recovery was a changed circumstance that excused her from liability on her contract with Ella. Will this defense succeed?
",multiple-choice,"Yes, because the risk of Sam's recovery was assumed by Ella.","Yes, because .illness in personal service contracts operates to excuse performance.","No, because Anna was unilaterally mistaken as to whether Sam would recover in time to perform.","No, because Anna did not condition her offer on Sam’s continued incapacity and, therefore, the risk of his recovery was
assumed by her.",,,4,,Contracts
"39. Questions 36-40 are based on the following fact situation.

Anna, the owner of a nightclub, booked Sam, a famous entertainer, for the week beginning Sunday, July 1. On June 20 Sam was stricken by appendicitis and according to his surgeon would not be able to perform until August 1. Dn June 21, Anna sent the following telegrams to Ella and to two other performers. The contents of all three telegrams were identical.

“Sam ill and unable to perform during the July 1 week. Desperately need replacement act. You must arrive no later than June 29 to give the band time to rehearse with you. Money no object as all performances already sold out. /s/ Anna.""

Assume for this question that there was a valid contract between Ella and Anna, and that Sam recovered. Assume further that Anna refused to allow Ella to perform as the featured star, but offered to employ Ella, at a salary of $3,000 for the week, to perform in a less popular nightclub which Anna also owned. Ella’s usual salary for a one week engagement is $5,000 and this is the sum she expected to receive from Anne. Ella refused to perform in Anna’s other nightclub and was unable to obtain another booking. Anna paid Sam $10,000 for his one week performance.

How much is Ella entitled to recover from Anna?",multiple-choice,"32,000.","$5,000.","$10,000.",Nothing.,,,2,,Contracts
"40. Questions 36-40 are based on the following fact situation.

Anna, the owner of a nightclub, booked Sam, a famous entertainer, for the week beginning Sunday, July 1. On June 20 Sam was stricken by appendicitis and according to his surgeon would not be able to perform until August 1. Dn June 21, Anna sent the following telegrams to Ella and to two other performers. The contents of all three telegrams were identical.

“Sam ill and unable to perform during the July 1 week. Desperately need replacement act. You must arrive no later than June 29 to give the band time to rehearse with you. Money no object as all performances already sold out. /s/ Anna.""

Assume that Frank, another performer, received one of the three wires sent by Anna on June 2. Without communicating with Anna, Frank cancelled his existing booking for the week of July 1 and appeared at Anna's nightclub on

June 29, stating: ""Here I am. You knew you could count on me to help you out.” Anna said that Sam had recovered and was going to perform and that Anna did not expect Frank since she had heard nothing from him.

If Frank sues Anna, who will prevail?",multiple-choice,"Frank, because he could reasonably interpret Anna's wire as an offer permitting acceptance either by performance or a return promise.","Frank, because he commenced performance prior to any attempted revocation by Anna.","Anna, because her wire should reasonably have been understood as an offer requiring a timely return promise.","Anna, because an offer can only be accepted by a return promise.",,,3,,Contracts
"41. Questions 41-42 are based on the following fact situation.

Alma and Betty were patients in Hospital. Dr. Andrews was to operate on Alma for a back problem. Dr. Brown was to perform an appendectomy on Betty. Each doctor was performing her first operation in Hospital. Neither was familiar with the location of the operating rooms. Through some unexplained mistake, employees of Hospital took Dr. Andrews to the operating room where Betty was awaiting her operation and took Dr. Brown to the operating room where Alma was awaiting her operation. Each doctor commenced operating before the mistakes were discovered.

If Alma asserts a claim against Dr. Brown, will Alma prevail?",multiple-choice,"Yes, for battery.","Yes, for negligence, relying on the doctrine of res ipsa Loquitur.","No, unless Alma can establish that Dr. Brown was negligent in not discovering her identity.","No, because Hospital’s employee took Dr. Brown to the wrong operating room.",,,1,,Torts
"42. Questions 41-42 are based on the following fact situation.

Alma and Betty were patients in Hospital. Dr. Andrews was to operate on Alma for a back problem. Dr. Brown was to perform an appendectomy on Betty. Each doctor was performing her first operation in Hospital. Neither was familiar with the location of the operating rooms. Through some unexplained mistake, employees of Hospital took Dr. Andrews to the operating room where Betty was awaiting her operation and took Dr. Brown to the operating room where Alma was awaiting her operation. Each doctor commenced operating before the mistakes were discovered.

If Betty asserts a claim against Hospital will Betty prevail?",multiple-choice,"Yes, for battery.","Yes, for negligence relying on the doctrine of res ipsa Loquitur.","No, unless Dr. Andrews was an employee of Hospital.","No, because Hospital is not nearly liable for harm to patients.",,,2,,Torts
"43. Owner brought his television set to Repairer for repair. Repairer sold the set to Buyer. Buyer believed that Repairer owned the set.

If Owner asserts a claim based on conversion . against Repairer and Buyer, Owner will prevail against",multiple-choice,"Repairer but not Buyer, because Buyer was a good faith purchaser.","Both Repairer and Buyer because each exercised dominion over the television set.","Buyer but not Repairer because Repairer no longer has possession of the television set.","Buyer but not Repairer because Repairer had lawful possession of the television set.",,,2,,Torts
"44. Boater owned a power boat which he was operating on Lake, a large body of water, on a clear calm day. He approached Sailer whose sailboat was disabled by a broken rudder. Sailer asked Boater to tow his sailboat to shore but Boater refused because he feared the tow might damage the paint on his power boat.

If Sailer was unable to bring his sailboat in and became severely ill as a result of exposure before he was rescued, and Sailer asserts a claim against Boater for damages based on Boater’s refusal to provide assistance, will Sailer prevail?",multiple-choice,"Yes, if Boater's failure to rescue made a bad situation worse.","Yes, if the probability of harm to Sailer outweighed the probability of damage to Boater's property.","No, unless there was some special relationship between Sailer and Boater.
","No, if Boater reasonably believed that towing Seller's sailboat might damage the paint on Boater’s power boat.",,,3,,Torts
"45. Deft is being tried on an indictment charging him with burglary. Deft has introduced evidence, that, at the time he broke and entered, he was so intoxicated that he could not have formed an intent to commit a felony.

On the issue of whether Deft was so intoxicated that his capacity to form the necessary intent was diminished, the jury should be instructed that the burden of proof is on the",multiple-choice,"defendant to establish by a preponderance of the evidence that his capacity to form the necessary intent was diminished.","defendant to establish by clear and convincing evidence that his capacity to form the necessary intent was-diminished.","prosecution to establish by clear and convincing evidence that Deft had the capacity to form the necessary intent.","prosecution to establish beyond a reasonable doubt that Deft had the capacity to form the necessary intent.",,,4,,Crime
"46. Questions 46-48 are based on the following fact situation.

On March 1, Seller and Buyer entered into a written contract under which Seller agreed to sell his home to Buyer, and Buyer agreed to purchase the home for the sum of 360,000. The contract specified July 1 as the closing day on which Seller was to deliver the deed and Buyer was to pay the price.

Assume that on April 1, Seller conveyed his home to a third party. Buyer learned of the sale the following day and wants to cancel his contract with Seller and buy another home. May he do so without any risk that he will be obliged to perform his contract obligation to Seller?



",multiple-choice,"Yes, but only if he first demands assurance from Seller that Seller will perform on July 1, and Seller is unable to provide such assurance.","Yes, if Seller, in connection with the sale to the third party, did nothing to preserve Buyer's rights to acquire the property.","No, because Seller’s performance is not due until July 1 and Buyer must remain in a position to perform his contract obligation up to that time.","No, because there is a possibility that Seller could buy back the property and tender a deed to Buyer on July 1.",,,2,,Contracts
"47. Questions 46-48 are based on the following fact situation.

On March 1, Seller and Buyer entered into a written contract under which Seller agreed to sell his home to Buyer, and Buyer agreed to purchase the home for the sum of 360,000. The contract specified July 1 as the closing day on which Seller was to deliver the deed and Buyer was to pay the price.

Assume that on April 1 Seller tells Buyer that he (Seller) has changed his mind and will not convey his home to Buyer. May Buyer immediately maintain an action for damages for breach of contract?",multiple-choice,"Yes, but only it Seller has sure or contracted to sell the home to another party.","Yes, because Seller’s statement constituted a repudiation, giving rise to an immediate cause of action for breach of contract.","No, because Seller's performance is not due until July 1 and thus there can be no breach of contract until that date.","No, because Seller might retract his repudiation before July 1.",,,2,,Contracts
"48. Questions 46-48 are based on the following fact situation.

On March 1, Seller and Buyer entered into a written contract under which Seller agreed to sell his home to Buyer, and Buyer agreed to purchase the home for the sum of 360,000. The contract specified July 1 as the closing day on which Seller was to deliver the deed and Buyer was to pay the price.

Assume that on July 1 Seller fails to deliver or tender the deed. May Buyer successfully maintain an immediate action against Seller for damages for breach of contract?",multiple-choice,"Yes, if Buyer tendered payment on July 1.","Yes, but only if Buyer actually made the payment on July 1.","Yes, whether or not Buyer tendered payment or actually paid on July 1.","Yes, because payment of the price by Buyer was a condition subsequent to Seller’s duty to tender the deed.",,,1,,Contracts
"49. Questions 49-50 are based on the following fact situation.

Deft intended to kill Vic. With that in mind, Deft shot at Vic but missed Vic and hit Cal. Cal was wounded only slightly. Cal turned, saw Vic empty handed standing nearby, but thought that Vic had shot him. Cal picked up an iron bar and beat Vic repeatedly over the head.

Did Deft commit the attempted murder of Cal?",multiple-choice,"Yes, because Deft attempted to kill Vic.","Yes, because Deft acted with premeditation and malice towards Vic.","No, because Cal was wounded only slightly.","No, because Deft not intend to kill Cal.",,,4,,Crime
"50. Questions 49-50 are based on the following fact situation.

Deft intended to kill Vic. With that in mind, Deft shot at Vic but missed Vic and hit Cal. Cal was wounded only slightly. Cal turned, saw Vic empty handed standing nearby, but thought that Vic had shot him. Cal picked up an iron bar and beat Vic repeatedly over the head.

Did Cal commit battery?",multiple-choice,"Yes, because Cal intentionally beat Vic.","Yes, because Vic had not committed an unlawful act.","No, if Cal acted in the heat of passion.","No, if Cal reasonably believed Vic had shot at him.",,,1,,Crime
"51. Questions 51-52 are based on the following fact situation.

Borrow owed Lender 35,000.00. Payment was overdue and Lender retained Ace Inc., to collect the debt. Washington, the President of Ace Inc., assigned Little, an employee of Ace Inc. to collect the account. At the time Washington assigned Little to collect the debt, Washington intended to apply the funds in discharge of a debt to Lender for which Ace Inc. and Washington were joinﬂy liable. Little collected the $5,000.00.

The amount collected, less Ace Inc.’s fee, was remitted to Lender by Washington as a payment on the debt for which Ace Inc. and Washington were jointly liable.

Did Washington commit a theft crime?",multiple-choice,"Yes, embezzlement, because Lender‘s money was entrusted to Ace, Inc.","Yes, obtaining by false pretenses from Borrow, because at the time the funds were collected. Washington intended to use them for his own benefit.","Yes, larceny, because at the time the funds were collected Washington intended to use them for his own benefit.","No, because Lender received all of the funds, less Ace, lnc.’s collection fee, that were collected from Borrow.",,,1,,Crime
"52. Questions 51-52 are based on the following fact situation.

Borrow owed Lender 35,000.00. Payment was overdue and Lender retained Ace Inc., to collect the debt. Washington, the President of Ace Inc., assigned Little, an employee of Ace Inc. to collect the account. At the time Washington assigned Little to collect the debt, Washington intended to apply the funds in discharge of a debt to Lender for which Ace Inc. and Washington were joinﬂy liable. Little collected the $5,000.00.

The amount collected, less Ace Inc.’s fee, was remitted to Lender by Washington as a payment on the debt for which Ace Inc. and Washington were jointly liable.

If a crime was committed by Washington, could Ace, Inc. be convicted for the same offense?",multiple-choice,"Yes, because Washington was President of Ace, Inc.","No, unless Washington is also convicted for the same offense.","No, because a corporation can not be imprisoned.","No, if the crime involved requires a specific intent.",,,1,,Crime
"53. Diane obtained the services of a tax accountant to prepare her Federal Income Tax Return. The tax accountant told Diane that a certain expense she had incurred was deductible from income. The tax accountant knew the advice was erroneous. Diane signed and ﬁled her Federal Income Tax Return, claiming the deduction.

If Diane is prosecuted for willful attempt to made payment of taxes, does the tan accountant’s advice constitute a valid defense?",multiple-choice,"No, because the tax accountant knew his advice was wrong.","No, because Diane signed and filed the Federal Income Tax Return.","Yes, because the tax accountant prepared the Federal Income Tax Return.
","Yes, if Diane reasonably and in good faith relied on the tax accountant's advice.",,,4,,Contracts
"54. Motorist saw Strange, apparently disabled by illness or injury, lying on the sidewalk late at night. Motorist drove to a service station across the street to use the pay phone. Tell was using the phone and refused to hang up when Motorist explained the circumstances. There was no other phone in the vicinity. Motorist then drew a loaded revolver and threatened to shoot Tell unless he hung up. Tell then hung up and permitted Motorist to use the phone. Motorist is now being prosecuted for assault with a deadly weapon. 

Did Motorist have a privilege to threaten Tell with a revolver?
",multiple-choice,"Yes, because Motorist was privileged to use deadly force if necessary to save Strange's life.","Yes, because Motorist was privileged to threaten the use of deadly force if reasonably necessary to save Strange’s life.","No, unless there was a statute specifically granting such a privilege.","No, if Motorist did not know Strange.",,,2,,Torts
"55. Questions 55-57 are based on the following fact situation.

Barney owned a hardware store in New York- Wishing to move to a warmer climate. he entered into a written contract to buy Sampson's hardware store in Florida. The contract stated that Barney would buy Sampson‘s store for $125,000 “provided Barney ﬁnds a purchaser who will buy his present business for $100,000 cash."" Sampson rents the building in which his store is located, under a lease with one more year to run.

Assume Sampson repudiated the contract soon after signing it and before Barney had made any effort to find a buyer for his present business.

Barney sued Sampson for breach of contract and Sampson defended on the ground that his promise to sell was unsupported by consideration. Will this defense succeed?",multiple-choice,"Yes, because Barney's promise to buy was subject to a condition within Barney’s complete control and was therefore illusory.","Yes, because Bamey’s promise to buy was still executory.","No, because the court will interpret the condition of Bamey’s promise as requiring Barney to make a good faith effort to find a buyer for his present business.","No, because Barney’s pronrise to sell his present business was consideration for Sampson’s promise to sell his business to Barney.",,,3,,Contracts
"56. Questions 55-57 are based on the following fact situation.

Barney owned a hardware store in New York- Wishing to move to a warmer climate. he entered into a written contract to buy Sampson's hardware store in Florida. The contract stated that Barney would buy Sampson‘s store for $125,000 “provided Barney ﬁnds a purchaser who will buy his present business for $100,000 cash."" Sampson rents the building in which his store is located, under a lease with one more year to run.

Assume Barney made no effort to find a buyer for his present business and refused to perform his promise to buy Sampson’s business.

Sampson sued Barney and the evidence shows that Barney could have found a purchaser to buy his business for $10,000 cash. What result?",multiple-choice,"Sampson wins, because the condition of Barney’s promise was excused by Barney's failure to try to make it occur.","Sampson wins, because the stipulation about the sale of Barney’s present business was a mere promise and not a condition.","Barney wins, because the condition of Barney's promise to buy Sampson’s business did not occur.","Barney wins, because he made no promise to try to find a buyer for his business.",,,1,,Contracts
"57. Questions 55-57 are based on the following fact situation.

Barney owned a hardware store in New York- Wishing to move to a warmer climate. he entered into a written contract to buy Sampson's hardware store in Florida. The contract stated that Barney would buy Sampson‘s store for $125,000 “provided Barney ﬁnds a purchaser who will buy his present business for $100,000 cash."" Sampson rents the building in which his store is located, under a lease with one more year to run.

Assume Barney refused to perform his promise to buy Sampson's business and Sampson sued. Barney defended on the ground that at the time the contract was signed the parties orally agreed that Barney's obligation to buy was conditioned upon Barney‘s obtaining a 5-year extension of Sampson’s lease, and that Barney has been unsuccessful in his efforts to obtain such an extension from the landlord. No mention of the lease was made in the contract. Sampson objected to the admission of evidence to prove such a condition on the ground of the Parol Evidence Rule.

Which of the following arguments that Barney might make has any chance of avoiding the Parol Evidence Rule?",multiple-choice,"The evidence is offered to clear up an ambiguity in the writing.","The evidence is offered to show a modification of a written contract.","The writing was not an “integrated"" written contract.","The Parol Evidence Rule does not bar evidence of the oral agreement because the evidence is offered to establish an oral condition of a promise contained in an “integrated” written contract.",,,3,,Contracts
"58. Questions 58-59 are based on the following fact situation.

Al lived in a home adjacent to a large stretch of open fields. One afternoon Al took his dog, on leash, for a walk across the ﬁelds. Unknown to Al, Burt was engaging in target practice with a revolver that Burt owned.

Burt was hidden from Al’s view by a small clump of trees. As A1, with his dog, passed the clump of trees, Burt fired at a target that he had pinned up to one of the trees. The sound of the explosion frightened Al‘s dog, which broke the leash and ran. The dog then hit Charles who was walking in the fields about 100 feet from Al.

If Charles asserts a claim for damages against Al, will Charles prevail?",multiple-choice,"Yes, because Al owned the dog.","Yes, because the dog escaped from Al’s control.","No, unless the dog had previously bitten some other person.","No, unless Al was negligent in not restraining the dog.",,,4,,Torts
"59. Questions 58-59 are based on the following fact situation.

Al lived in a home adjacent to a large stretch of open fields. One afternoon Al took his dog, on leash, for a walk across the ﬁelds. Unknown to Al, Burt was engaging in target practice with a revolver that Burt owned.

Burt was hidden from Al’s view by a small clump of trees. As A1, with his dog, passed the clump of trees, Burt fired at a target that he had pinned up to one of the trees. The sound of the explosion frightened Al‘s dog, which broke the leash and ran. The dog then hit Charles who was walking in the fields about 100 feet from Al.

If Charles asserts a claim against Burt for damages for the dog bite, will Charles prevail?",multiple-choice,"Yes, because Burt's firing the gun caused the dog to run away.","Yes, because thing a gun is an abnormally dangerous activity.","No, because injury to Charles from a dog bite was not a foreseeable consequence of Burt’s act.","No, because the breaking of the leash was an independent, intervening force.",,,3,,Torts
"60. Joe and Tom saw a new automobile, owned by Bill, parked on a street. They decided to take the automobile for a joyride. Joe drove the automobile a few blocks before colliding with a truck. The collision totally destroyed Bill’s automobile.

If Bill obtains a judgment against Joe based on conversion and Joe pays the judgment, may Joe compel Tom to reimburse him for any part of the amount paid to Bill?",multiple-choice,"Yes, on a theory of implied indemnity.","Yes, because Tom was a joint tortfeasor.","No, unless Bill had joined Torn as a party defendant in the action.","No, because Bill’s judgment was based on conversion.",,,4,,Torts
"61. Questions 61-64 are based on the following fact situation.

Tom is a teacher who is quite knowledgeable about coins and their value and his collection is worth thousands of dollars- Tom also buys and sells coins- Jim, who had no prior experience with coins, had inherited a sizeable coin collection. Jim opened “Coin Shop“ in a local shopping center.

Assume that on June 1 Jim advertised in the local newspaper as follows: “Special sale. Coins on sale at 10% over their face value.” In response to this ad, Tom visited J im's shop and saw in a display case a fifty cent coin which Tom recognized as having a value of $100. Tom tendered fifty-ﬁve cents to Jim but Jim refused to sell the coin.

Jim said that the coin had already been sold to Zeke for $100 prior to the start of the special sale and that Jim had forgotten to remove it from the display case. 

Tom sued Jim for damages. What result?",multiple-choice,"Jim wins because the ad was not an offer.","Jim wins because fifty-five cents was not sufficient consideration for a coin worth $100.","Tom wins because, in visiting Jim's shop, Tom detrimentally relied on the ad.","Torn wins because Jim’s ad was an offer which Tom accepted when he tendered the ﬁfty - five cents to purchase the coin.",,,1,,Torts
"62. Questions 61-64 are based on the following fact situation.

Tom is a teacher who is quite knowledgeable about coins and their value and his collection is worth thousands of dollars- Tom also buys and sells coins- Jim, who had no prior experience with coins, had inherited a sizeable coin collection. Jim opened “Coin Shop“ in a local shopping center.

Assume that Tom telephoned Jim and learned that Jim owned ﬁfty 1937 silver dollars. Jim agreed to sell them to Tom for $1,000, which sum Tom agreed to pay in advance of shipment. Following the conversation, Jim sent Torn this letter: “This confirms your purchase of the silver dollars. Upon receipt of your check for $1,000 the coins will be
shipped to you as agreed. /s/ Jim."" Tom received the letter but did not respond to it and did not pay the $1,000 a month. Coyne sues Tom, who asserts the Statute of Frauds as a defense. Will this defense succeed?",multiple-choice,"No, because the letter signed by Coyne satisfies the writing requirement against Tom.","No, because the face value of the coins is less than $5,000.","Yes, because Tom is not a merchant and there is no writing signed by Tom.","Yes, because a memorandum signed after the contract is made does not satisfy the Statute of Frauds.",,,1,,Torts
"63. Questions 61-64 are based on the following fact situation.

Tom is a teacher who is quite knowledgeable about coins and their value and his collection is worth thousands of dollars- Tom also buys and sells coins- Jim, who had no prior experience with coins, had inherited a sizeable coin collection. Jim opened “Coin Shop“ in a local shopping center.

Assume the same facts as in question 62, but that Tom defends on the ground that there was no consideration for his promise to pay $1 ,000. Will this defense succeed?",multiple-choice,"Yes, because a court will not enforce a promise to pay $1,000 for coins with a face value of $50.","Yes, because Coyne did not change his position in reliance on the promise of Tom to pay $1,000.","No, because Coyne’s promise to sell the coins was sufficient consideration.","No, because both Tom and Coyne are merchants and contracts between merchants do not require consideration.",,,3,,Torts
"64. Questions 61-64 are based on the following fact situation.

Tom is a teacher who is quite knowledgeable about coins and their value and his collection is worth thousands of dollars- Tom also buys and sells coins- Jim, who had no prior experience with coins, had inherited a sizeable coin collection. Jim opened “Coin Shop“ in a local shopping center.

Assume that Tom and Coyne had entered into an enforceable contract for the sale of fifty 1937 silver dollars but that before the coins were delivered to Tom, the government made the transfer of prel964 silver coins illegal.

Which of the following is a correct statement of the rights of Tom and Coyne?",multiple-choice,"The court will not enforce the agreement and will leave the parties as they are, enabling Coyne to keep the $1 ,000.","Coyne is in breach and must pay damages, even though he is excused from delivering the coins.","Coyne may keep the $1,000 and need not deliver the coins, because merchants should anticipate changes in the law.","Coyne is excused from delivering the coins, and Tom is entitled to restitution of the $1 ,000.",,,4,,Torts
"65. Agent was an undercover police ofﬁcer. Agent received information from a reliable source that Deft. recently released from prison after serving a sentence for selling narcotics, was again selling narcotics, but that he was being very cautious and would sell only to persons who knew a certain code word. Agent's source told Agent the current code word.

Agent approached Deft, offered to make a buy of narcotics and said the code word. Deft agreed to the sale and to the time and place of delivery. When Deft appeared with the narcotics he was arrested.

If Deft claims that he was entrapped, will he prevail on this issue?",multiple-choice,"Yes, because Deft would not have made the sale if Agent had not said the code word.","Yes, because Agent approached Deft and offered to make a buy.","No, because Deft was already predisposed to sell narcotics.","No, because Deft had previously been convicted for selling narcotics.",,,3,,Crime
"66. Pete parked his car in a garage operated by Dunn. When Pete returned several hours later and demanded his car, Dunn could not produce the car because it had been stolen by a thief.

If Pete asserts a claim against Dunn based on conversion, will Pete prevail?",multiple-choice,"Yes, because Dunn could not produce Pete's car.","Yes, unless Pete recovers his car undamaged.","No, if Dunn did not intentionally give custody of the car to the thief.","No, if Dunn had taken reasonable security precautions to prevent theft of parked cars.",,,1,,Torts
"67. Deft while walking down a city street, found a wallet. Deft picked up the wallet and examined it. He found a driver’s license giving the owner’s name and address- However, Deft believed that the law was ""ﬁnders keepers"" and he took out the cash in the wallet, put it in his pocket and tossed the wallet into the trash can.

Did Deft commit a theft crime?
",multiple-choice,"Yes, larceny, because Deft kept the money knowing the owner's identity.","Yes, embezzelment, because Deft had rightful possession when he formed the intent to keep the money.","No, because Deft did not commit a trespassory taking."," No, because, as a finder, he was entitled to keep the money.",,,1,,Crime
"68. Questions 68-71 are based on the following fact situation.

Child, a four year old boy, accompanied Mother to Store. While Mother was shopping in Store, Child wandered away. Child’s hand was caught in an opening between the ﬂoor and an escalator in Store. The escalator had been installed and designed and was maintained by Esco. When Child’s hand was caught, he cried out and Walker, an employee of Store, attempted to stop the escalator before Child was injured. Walker was unable to do so and, as a result, Child's hand was severely injured.

Child, by an appropriate legal representative, has asserted claims against Store and Esco.

If the escalator was properly installed, designed and maintained by Esco, will Child prevail against Store?",multiple-choice,"Yes, because Store had a non-delegable duty to make the escalator safe.","Yes, if Child was a business invites when he accompanied Mother in Store.","No, unless Walker failed to exercise reasonable care in rescuing Child.","No, because Mother had the primary duty to supervise Child.",,,3,,Torts
"69. Questions 68-71 are based on the following fact situation.

Child, a four year old boy, accompanied Mother to Store. While Mother was shopping in Store, Child wandered away. Child’s hand was caught in an opening between the ﬂoor and an escalator in Store. The escalator had been installed and designed and was maintained by Esco. When Child’s hand was caught, he cried out and Walker, an employee of Store, attempted to stop the escalator before Child was injured. Walker was unable to do so and, as a result, Child's hand was severely injured.

Child, by an appropriate legal representative, has asserted claims against Store and Esco.

If Walker was unable to stop the escalator because the stop button was improperly designed, will Child prevail against Esco on a claim based on

1 Negligence
II Strict liability for defective product
111 Strict liability for abnormally dangerous activity",multiple-choice," I only.","I and II, but not III.","II only.","II and 111, but not I",,,2,,Torts
"70. Questions 68-71 are based on the following fact situation.

Child, a four year old boy, accompanied Mother to Store. While Mother was shopping in Store, Child wandered away. Child’s hand was caught in an opening between the ﬂoor and an escalator in Store. The escalator had been installed and designed and was maintained by Esco. When Child’s hand was caught, he cried out and Walker, an employee of Store, attempted to stop the escalator before Child was injured. Walker was unable to do so and, as a result, Child's hand was severely injured.

Child, by an appropriate legal representative, has asserted claims against Store and Esco.

If Child was a hemophiliac and either Store or Esco is found liable, will Child recover for additional expenses incurred in the treatment of his injuries because of this condition?",multiple-choice,"Yes, if the additional expenses were reasonable in amount.","Yes, unless the additional expenses were covered by a collateral source.","No, because the hemophilia was a pre-existing condition.","No, if the liability of the defendants was based on strict liability in tort.",,,1,,Torts
"71. Questions 68-71 are based on the following fact situation.

Child, a four year old boy, accompanied Mother to Store. While Mother was shopping in Store, Child wandered away. Child’s hand was caught in an opening between the ﬂoor and an escalator in Store. The escalator had been installed and designed and was maintained by Esco. When Child’s hand was caught, he cried out and Walker, an employee of Store, attempted to stop the escalator before Child was injured. Walker was unable to do so and, as a result, Child's hand was severely injured.

Child, by an appropriate legal representative, has asserted claims against Store and Esco.

If Child obtains a judgment against both Store and Esco, and Store pays the judgment, may Store compel Esco to reimburse it for any part of the amount paid Child?",multiple-choice,"Yes, because the manufacturer must bear the entire loss caused by its defective product.","Yes, unless Store was actively negligent.","No, unless the jurisdiction permits contribution among tortfeasors.","No, because the plaintiff is entitled to recover against either party.
",,,2,,Torts
"72. Mike, Leo, and Frank, planned to rob the owner of a local liquor store. The understanding was that Mike would supply the guns and ammunition and Leo and Frank would actually commit the robbery. Mike told Leo and Frank that all he wanted was to be paid for the guns and ammunition, that he would have nothing to do with the actual robbery, and would not be present at the time or share in the proceeds. Mike supplied Leo and Frank with guns and ammunition which they used to rob the owner of a liquor store-

Can Mike be held criminally liable for the robbery of the owner of the liquor store as

I a co-conspirator

II an accessory before the fact?",multiple-choice,"No, neither 1 nor II.","Yes, I but not 11.","Yes, 11 but not I.","Yes, both I and II.",,,4,,Crime
"73. In order to get Art in trouble, Bob and Sam threatened him at gunpoint and told him, “If you do not immediately go into the bank and hold it up we will kill you."" Bob and Sam then positioned themselves so they could observe Art's conduct of the robbery. They gave Art a gun with one bullet. Art entered the bank and pointed the gun at a teller. Before Art received any money he saw that the bank guard was about to shoot him, and Art dropped his gun and held up his hands in surrender.

Did Art commit the crime of attempted robbery?",multiple-choice,"Yes, because Art threatened the use of deadly force.","Yes, because he took a substantial step towards the completion of the robbery.","No, because he surrendered before the robbery was completed.","No, because Art was threatened with the loss of his own life.",,,4,,Crime
"74. Lou went to the bank to close his account- The balance in the account was $50. Lou handed his passe book to the teller. The teller, misreading the ﬁgure in the passbook and in a computer printout purporting to show the balance in Louls account, said “Your balance is $500.00; here is the $500.00."" The teller gave Lou five $100.00 bills. Lou was aware of the mistake but said nothing and left the bank with the $500.00.

Did Lou commit the crime of obtaining property by false pretenses?",multiple-choice,"Yes, because he had a duty to notify the teller of the mistake.","Yes, because his failure to notify the teller of the mistake amounted to a false misrepresentation of an existing fact."," No, because he made no misrepresentation.","No, because he did not get title to the money.",,,3,,Crime
